"SITEID_07"	"VISIT_NO"	"DAY"	"MONTH"	"YEAR"	"LAT"	"LON"	"STATE"	"EPA_REG"	"ECO9"	"HUC2"	"HUC8"	"LAKE_ORIGIN"	"AREA_KM2"	"PERIM_KM"	"ELEVATION_M"	"DEPTHMAX_M"	"SLD"	"WGT"
"282"	"NLA06608-0361"	1	15	7	2007	35.02063348	-81.04741516	"NC"	"Region_4"	"SAP"	"3"	"3050101"	"MAN-MADE"	45.28488176	371.4952832	161.62	9.4	15.57298097	5.939198937
"283"	"NLA06608-0363"	1	21	7	2007	41.93460679	-85.33088977	"MI"	"Region_5"	"UMW"	"4"	"4050001"	"MAN-MADE"	2.945937826	21.87920273	258.64	13	3.595959336	3.743461174
"284"	"NLA06608-0366"	1	31	7	2007	46.94267011	-95.26723865	"MN"	"Region_5"	"UMW"	"7"	"7010106"	"NATURAL"	2.091807756	17.22647758	447.74	18	3.359933382	116.1182748
"285"	"NLA06608-0367"	1	23	8	2007	41.36496934	-81.22089462	"OH"	"Region_5"	"NAP"	"4"	"4110002"	"MAN-MADE"	5.683463456	30.56466562	337	6.4	3.616664147	20.27708552
"286"	"NLA06608-0369"	1	26	7	2007	44.58635561	-72.31186438	"VT"	"Region_1"	"NAP"	"2"	"2010005"	"NATURAL"	3.066713126	8.689673241	426.96	43.6	1.399786942	35.04559536
"287"	"NLA06608-0372"	1	3	8	2007	38.4638561	-105.0515471	"CO"	"Region_8"	"SPL"	"11"	"11020002"	"MAN-MADE"	0.379569552	3.384934586	1672	13.7	1.549885677	12.717609
"288"	"NLA06608-0373"	1	12	7	2007	34.25648145	-117.1853787	"CA"	"Region_9"	"WMT"	"18"	"18090208"	"MAN-MADE"	3.023385348	17.80972311	1559.92	46.5	2.889385463	24.80223611
"289"	"NLA06608-0376"	1	22	8	2007	36.30884018	-96.12859695	"OK"	"Region_6"	"SPL"	"11"	"11070107"	"MAN-MADE"	42.2397665	294.4625061	217.74	17	12.78098478	9.346499571
"290"	"NLA06608-0377"	1	12	7	2007	40.86340465	-76.77414252	"PA"	"Region_3"	"SAP"	"2"	"2050301"	"MAN-MADE"	0.054598234	1.089679549	135.37	2.1	1.315541549	316.2207713
"291"	"NLA06608-0378"	1	26	6	2007	47.55716773	-112.4475051	"MT"	"Region_8"	"NPL"	"10"	"10030104"	"MAN-MADE"	5.322075413	16.38110596	1264	15.9	2.003077604	2.212647044
"292"	"NLA06608-0384"	1	28	6	2007	48.71606442	-103.1433201	"ND"	"Region_8"	"NPL"	"10"	"10110101"	"NATURAL"	0.707246176	5.082473987	672.26	1.5	1.704845111	19.94722145
"293"	"NLA06608-0385"	1	6	7	2007	48.24355	-112.8672712	"MT"	"Region_8"	"NPL"	"10"	"10030201"	"NATURAL"	0.398408993	2.792294465	1469.29	2.2	1.247934287	5.441933591
"294"	"NLA06608-0386"	1	7	8	2007	40.49157546	-78.46066192	"PA"	"Region_3"	"SAP"	"2"	"2050302"	"MAN-MADE"	0.315466014	2.652090959	409.84	12.8	1.332009107	21.97743319
"295"	"NLA06608-0388"	1	16	8	2007	36.68164988	-83.70494798	"KY"	"Region_4"	"SAP"	"5"	"5130101"	"MAN-MADE"	0.905569211	10.45712362	390.75	21.4	3.09989145	2.966501553
"296"	"NLA06608-0388"	2	26	8	2007	36.68164988	-83.70494798	"KY"	"Region_4"	"SAP"	"5"	"5130101"	"MAN-MADE"	0.905569211	10.45712362	390.75	23.5	3.09989145	2.966501553
"297"	"NLA06608-0393"	1	23	7	2007	37.89444471	-120.5721188	"CA"	"Region_9"	"XER"	"18"	"18040010"	"MAN-MADE"	4.013816881	48.96900169	155.75	42.5	6.89505192	4.682523949
"298"	"NLA06608-0395"	1	27	6	2007	33.09780391	-86.48006432	"AL"	"Region_4"	"SAP"	"3"	"3150106"	"MAN-MADE"	47.68351596	400.2194601	117.88	12.6	16.34967538	2.450205884
"299"	"NLA06608-0399"	1	16	7	2007	42.42304224	-83.99670111	"MI"	"Region_5"	"UMW"	"4"	"4090005"	"MAN-MADE"	0.187308107	3.199262296	268.4	3.5	2.085290806	123.5177874
"300"	"NLA06608-0401"	1	27	8	2007	47.17784258	-68.23140034	"ME"	"Region_1"	"NAP"	"1"	"1010003"	"NATURAL"	26.77177683	53.32502151	177.26	50	2.907284342	5.785867077
"301"	"NLA06608-0402"	1	26	6	2007	42.88974892	-124.0780934	"OR"	"Region_10"	"WMT"	"17"	"17100305"	"MAN-MADE"	0.074511504	1.207564988	85.81	2.3	1.247940604	168.5476261
"302"	"NLA06608-0402"	2	6	9	2007	42.88974892	-124.0780934	"OR"	"Region_10"	"WMT"	"17"	"17100305"	"MAN-MADE"	0.074511504	1.207564988	85.81	2.1	1.247940604	168.5476261
"303"	"NLA06608-0403"	1	6	8	2007	47.39595432	-94.56183848	"MN"	"Region_5"	"UMW"	"7"	"7010101"	"NATURAL"	66.05134097	75.90976746	396.79	34.1	2.634825813	5.66008504
"304"	"NLA06608-0405"	1	30	8	2007	41.97137282	-75.87948445	"PA"	"Region_3"	"NAP"	"2"	"2050101"	"MAN-MADE"	0.126194284	1.399424174	408.87	4	1.111282815	57.57528924
"305"	"NLA06608-0406"	1	21	8	2007	45.18038118	-121.7044304	"OR"	"Region_10"	"WMT"	"17"	"17070306"	"NATURAL"	1.418718591	8.923070402	1072.83	2.5	2.113300509	4.40366347
"306"	"NLA06608-0407"	1	23	7	2007	45.09335555	-97.75438416	"SD"	"Region_8"	"TPL"	"10"	"10160010"	"NATURAL"	0.274683107	1.951433639	535.5	3.5	1.050347194	53.28692003
"307"	"NLA06608-0408"	1	20	6	2007	34.36882178	-97.28183273	"OK"	"Region_6"	"SPL"	"11"	"11130303"	"MAN-MADE"	0.8285156	7.159747077	319.4	9.8	2.218923879	3.451225091
"308"	"NLA06608-0413"	1	27	6	2007	36.56057181	-77.7454141	"VA"	"Region_3"	"SAP"	"3"	"3010204"	"MAN-MADE"	0.085576719	1.75119976	65.65	3	1.688701703	386.8879495
"309"	"NLA06608-0414"	1	31	7	2007	46.13180055	-91.61045649	"WI"	"Region_5"	"UMW"	"7"	"7030002"	"NATURAL"	0.195756811	1.805802927	368.16	1	1.151348978	242.0290559
"310"	"NLA06608-0418"	1	19	7	2007	42.76982559	-71.9999278	"NH"	"Region_1"	"NAP"	"1"	"1070003"	"NATURAL"	0.51280776	4.248873842	365.37	2.6	1.673753931	20.3121784
"311"	"NLA06608-0421"	1	28	6	2007	43.09504296	-73.76674325	"NY"	"Region_2"	"NAP"	"2"	"2020003"	"MAN-MADE"	0.258657092	4.036894474	86.43	5.8	2.239134952	245.2421149
"312"	"NLA06608-0425"	1	1	8	2007	38.60231182	-111.8406157	"UT"	"Region_8"	"WMT"	"16"	"16030002"	"MAN-MADE"	1.443154395	6.780695715	2132	3.2	1.592256115	4.975432594
"313"	"NLA06608-0426"	1	17	9	2007	43.8382238	-85.07388127	"MI"	"Region_5"	"UMW"	"4"	"4080202"	"NATURAL"	1.599850198	8.608542559	319.89	7.7	1.919928428	33.17025852
"314"	"NLA06608-0432"	1	16	7	2007	34.72092203	-90.07170002	"MS"	"Region_4"	"CPL"	"8"	"8030204"	"MAN-MADE"	39.0784138	102.3632486	65.5	5.5	4.619241459	3.876539726
"315"	"NLA06608-0433"	1	9	8	2007	44.52251138	-73.29262702	"VT"	"Region_1"	"NAP"	"2"	"2010000"	"NATURAL"	1073.599005	962.1652079	28.84	97	8.28368673	8.846608367
"316"	"NLA06608-0435"	1	23	7	2007	45.16826567	-90.69813817	"WI"	"Region_5"	"UMW"	"7"	"7050005"	"MAN-MADE"	3.686973816	15.01318869	383.09	5.2	2.205631645	64.99603437
"317"	"NLA06608-0436"	1	5	9	2007	34.45197764	-92.9382529	"AR"	"Region_6"	"SAP"	"8"	"8040101"	"MAN-MADE"	5.001143836	43.56987943	91.08	8.2	5.496000373	3.801481249
"318"	"NLA06608-0439"	1	27	6	2007	45.6434979	-99.23111059	"SD"	"Region_8"	"NPL"	"10"	"10160007"	"NATURAL"	0.174838959	1.9417606	594.19	0.9	1.31000106	20.30803203
"319"	"NLA06608-0440"	1	8	8	2007	36.23894258	-97.34810228	"OK"	"Region_6"	"SPL"	"11"	"11060006"	"MAN-MADE"	1.796547197	15.00253457	329.73	9	3.157478403	3.800212608
"320"	"NLA06608-0442"	1	14	8	2007	48.28610194	-101.9047579	"ND"	"Region_8"	"NPL"	"10"	"10110101"	"NATURAL"	0.301718505	4.970823575	659.73	2.2	2.552833225	54.02043965
"321"	"NLA06608-0444"	1	12	7	2007	34.16578918	-89.91161609	"MS"	"Region_4"	"CPL"	"8"	"8030203"	"MAN-MADE"	0.043988991	1.119552107	92.35	NA	1.505800309	373.2837123
"322"	"NLA06608-0445"	1	28	6	2007	40.04075657	-81.01548859	"OH"	"Region_5"	"SAP"	"5"	"5030106"	"MAN-MADE"	0.430430732	6.510790055	322.66	8.4	2.799478418	28.82219287
"323"	"NLA06608-0447"	1	25	8	2007	38.47961378	-82.87603537	"KY"	"Region_4"	"SAP"	"5"	"5090104"	"MAN-MADE"	0.704560861	10.58989409	182.27	14.8	3.558995408	2.966501553
"324"	"NLA06608-0449"	1	26	7	2007	48.13580369	-117.6915241	"WA"	"Region_10"	"WMT"	"17"	"17020003"	"NATURAL"	0.48192434	2.937004986	619.91	5.8	1.193466742	21.49824829
"325"	"NLA06608-0452"	1	15	6	2007	39.80684554	-105.0360311	"CO"	"Region_8"	"SPL"	"10"	"10190004"	"MAN-MADE"	0.053910156	1.153685508	1590.47	7.2	1.401674629	325.1141919
"326"	"NLA06608-0453"	1	31	7	2007	28.57332363	-81.77025392	"FL"	"Region_4"	"CPL"	"3"	"3080102"	"NATURAL"	7.430730589	10.62659391	28.99	3.9	1.099697898	2.082890779
"327"	"NLA06608-0454"	1	25	7	2007	41.97098891	-71.19898937	"MA"	"Region_1"	"NAP"	"1"	"1090004"	"MAN-MADE"	2.024298506	12.36993924	30.85	2.2	2.452592281	30.4452118
"328"	"NLA06608-0456"	1	9	8	2007	33.06325702	-96.47583806	"TX"	"Region_6"	"SPL"	"12"	"12030106"	"MAN-MADE"	92.88403959	182.8813591	143.86	12.7	5.352959543	2.186087249
"329"	"NLA06608-0458"	1	25	7	2007	31.16378198	-83.54189637	"GA"	"Region_4"	"CPL"	"3"	"3110204"	"MAN-MADE"	1.280576834	8.443913715	57.42	3.7	2.104922131	37.31152086
"330"	"NLA06608-0459"	1	16	7	2007	34.2269109	-86.84234494	"AL"	"Region_4"	"SAP"	"3"	"3160109"	"MAN-MADE"	0.729504041	11.87228388	247.04	9.6	3.921168361	5.629859073
"331"	"NLA06608-0462"	1	20	8	2007	46.19906329	-89.29397704	"MI"	"Region_5"	"UMW"	"7"	"7070001"	"NATURAL"	1.497868259	6.903455506	522.69	13	1.591200069	37.86654247
"332"	"NLA06608-0463"	1	19	8	2007	42.21176414	-83.52098213	"MI"	"Region_5"	"UMW"	"4"	"4090005"	"MAN-MADE"	2.727513592	17.45719673	198.31	5.8	2.981852194	3.743461174
"333"	"NLA06608-0467"	1	9	7	2007	43.54592149	-89.36445641	"WI"	"Region_5"	"TPL"	"4"	"4030201"	"NATURAL"	1.835188922	10.43716624	237.25	24.5	2.173388072	7.527925891
"334"	"NLA06608-0468"	1	1	8	2007	39.43240936	-106.6003635	"CO"	"Region_8"	"WMT"	"14"	"14010004"	"NATURAL"	0.067801728	1.22241284	3068.4	13.9	1.324318935	325.1141919
"335"	"NLA06608-0469"	1	29	8	2007	41.90973411	-75.33783928	"PA"	"Region_3"	"NAP"	"2"	"2040101"	"NATURAL"	0.127123197	1.907141321	413.35	11.5	1.508917655	57.57528924
"336"	"NLA06608-0470"	1	24	7	2007	43.62308804	-71.2654292	"NH"	"Region_1"	"NAP"	"1"	"1070002"	"NATURAL"	1.328445725	6.024761658	155.18	11.4	1.474561977	22.36614373
"337"	"NLA06608-0471"	1	25	6	2007	45.44015743	-97.2623188	"SD"	"Region_8"	"TPL"	"10"	"10160010"	"NATURAL"	8.571952963	20.06849553	564.78	7.6	1.933614947	3.957354262
"338"	"NLA06608-0472"	1	16	7	2007	34.57061143	-96.23835676	"OK"	"Region_6"	"SAP"	"11"	"11140103"	"MAN-MADE"	1.589734793	12.64075427	186	8	2.828171343	6.877634724
"339"	"NLA06608-0473"	1	19	6	2007	35.51629478	-80.20338458	"NC"	"Region_4"	"SAP"	"3"	"3040103"	"MAN-MADE"	9.090342354	71.8636521	170.71	15.3	6.723791416	5.939198937
"340"	"NLA06608-0479"	1	16	8	2007	39.92061781	-83.00425479	"OH"	"Region_5"	"TPL"	"5"	"5060001"	"NATURAL"	0.182754599	1.992213542	209.24	5.5	1.314609597	49.5034722
"341"	"NLA06608-0480"	1	24	8	2007	37.99433764	-90.54213897	"MO"	"Region_7"	"SAP"	"7"	"7140104"	"MAN-MADE"	0.162435341	3.343738326	239.95	15.9	2.340383828	19.12124759
"342"	"NLA06608-0480"	2	25	9	2007	37.99433764	-90.54213897	"MO"	"Region_7"	"SAP"	"7"	"7140104"	"MAN-MADE"	0.162435341	3.343738326	239.95	15.6	2.340383828	19.12124759
"343"	"NLA06608-0483"	1	11	7	2007	29.49147018	-101.1563449	"TX"	"Region_6"	"XER"	"13"	"13040212"	"MAN-MADE"	141.3001792	727.1479422	336.66	41.6	17.25625267	2.186087249
"344"	"NLA06608-0484"	1	12	7	2007	36.3106781	-88.48981792	"TN"	"Region_4"	"CPL"	"8"	"8010203"	"MAN-MADE"	0.373149849	3.79600164	125.56	1.2	1.752991557	57.57446095
"345"	"NLA06608-0488"	1	19	7	2007	37.19249014	-95.98672528	"KS"	"Region_7"	"SPL"	"11"	"11070106"	"MAN-MADE"	0.134819563	4.312833504	252.08	3.6	3.313456727	15.24267062
"346"	"NLA06608-0489"	1	10	7	2007	38.49363215	-78.00762524	"VA"	"Region_3"	"SAP"	"2"	"2080103"	"MAN-MADE"	0.216274186	3.185509305	115.8	2.5	1.932286871	18.68349386
"347"	"NLA06608-0491"	1	17	7	2007	41.41314405	-85.734175	"IN"	"Region_5"	"UMW"	"4"	"4050001"	"NATURAL"	0.531359245	4.37288814	261.61	1.3	1.692268675	3.999418784
"348"	"NLA06608-0493"	1	11	7	2007	38.77124892	-77.64555522	"VA"	"Region_3"	"SAP"	"2"	"2070010"	"MAN-MADE"	2.889176192	26.98345316	86.34	15.1	4.478221609	7.596560444
"349"	"NLA06608-0494"	1	11	7	2007	46.82219046	-94.53354023	"MN"	"Region_5"	"UMW"	"7"	"7010105"	"NATURAL"	6.310209246	13.97816515	403.19	23.5	1.569724204	116.1182748
"350"	"NLA06608-0495"	1	5	9	2007	38.44681794	-107.4380582	"CO"	"Region_8"	"WMT"	"14"	"14020002"	"MAN-MADE"	3.679212786	40.73191941	2185.23	44.5	5.990354042	10.0994059
"351"	"NLA06608-0496"	1	23	6	2007	48.75171319	-108.0524686	"MT"	"Region_8"	"NPL"	"10"	"10050010"	"MAN-MADE"	0.124412271	2.644699653	888.42	1.9	2.115143401	8.239346912
"352"	"NLA06608-0497"	1	17	8	2007	42.10765269	-111.8159376	"ID"	"Region_10"	"XER"	"16"	"16010202"	"MAN-MADE"	0.342264253	3.639089032	1485	9.6	1.754716573	9.206236461
"353"	"NLA06608-0498"	1	31	7	2007	41.95095517	-71.95133091	"CT"	"Region_1"	"NAP"	"1"	"1100001"	"NATURAL"	0.367322381	2.872661675	86.77	5.5	1.337075259	53.01916841
"354"	"NLA06608-0500"	1	14	9	2007	34.21452974	-94.21467091	"AR"	"Region_6"	"SAP"	"11"	"11140109"	"MAN-MADE"	3.922005889	43.54131175	153.59	22	6.20215272	17.47235784
"355"	"NLA06608-0501"	1	24	7	2007	37.94635193	-122.6247455	"CA"	"Region_9"	"XER"	"18"	"18050005"	"MAN-MADE"	0.996608727	13.75652509	198.57	16.3	3.887241026	20.89269613
"356"	"NLA06608-0502"	1	18	8	2007	42.82731383	-83.7469401	"MI"	"Region_5"	"UMW"	"4"	"4080203"	"NATURAL"	0.303353365	2.963155653	263.7	10.7	1.517662225	81.58117426
"357"	"NLA06608-0503"	1	1	8	2007	43.57477426	-97.0587349	"SD"	"Region_8"	"TPL"	"10"	"10170102"	"NATURAL"	0.207697309	1.745953904	485.13	2	1.080718055	53.28692003
"358"	"NLA06608-0508"	1	10	7	2007	33.85862113	-90.54209875	"MS"	"Region_4"	"CPL"	"8"	"8030207"	"MAN-MADE"	0.153734775	1.526286385	38.92	0.5	1.098107959	109.1488452
"359"	"NLA06608-0509"	1	20	6	2007	40.46163354	-79.56745425	"PA"	"Region_3"	"SAP"	"5"	"5010008"	"MAN-MADE"	4.121244393	35.30116228	318.34	13.4	4.905348734	3.283942861
"360"	"NLA06608-0510"	1	27	6	2007	48.24775379	-98.8914836	"ND"	"Region_8"	"TPL"	"9"	"9020201"	"NATURAL"	1.809745987	10.83663647	443.79	4.1	2.272378969	87.25882266
"361"	"NLA06608-0511"	1	6	9	2007	38.22555093	-107.5377617	"CO"	"Region_8"	"WMT"	"14"	"14020002"	"MAN-MADE"	0.755478641	5.860083604	2719	16	1.901900466	9.171940265
"362"	"NLA06608-0512"	1	13	8	2007	48.92434782	-100.3053493	"ND"	"Region_8"	"TPL"	"9"	"9010004"	"NATURAL"	0.351130026	4.20408611	674.31	3	2.001394428	214.6102423
"363"	"NLA06608-0514"	1	24	7	2007	40.35740927	-78.11907346	"PA"	"Region_3"	"SAP"	"2"	"2050303"	"MAN-MADE"	33.47380555	191.6380496	239.41	28	9.343815743	8.935850053
"364"	"NLA06608-0515"	1	28	6	2007	46.02793009	-98.94484753	"ND"	"Region_8"	"NPL"	"10"	"10160004"	"NATURAL"	0.692715186	4.269061873	633.4	3.7	1.446938801	19.94722145
"365"	"NLA06608-0523"	1	16	7	2007	43.92368969	-96.95103624	"SD"	"Region_8"	"TPL"	"10"	"10170203"	"NATURAL"	4.116060301	9.390298706	485.78	4.1	1.305670558	3.957354262
"366"	"NLA06608-0526"	1	18	7	2007	47.94850085	-91.39296143	"MN"	"Region_5"	"UMW"	"9"	"9030001"	"NATURAL"	0.240490276	3.477794386	460.42	5.5	2.000553681	285.5891281
"367"	"NLA06608-0528"	1	28	6	2007	40.69518018	-99.85563998	"NE"	"Region_7"	"SPL"	"10"	"10200101"	"MAN-MADE"	8.782474956	18.31516995	796.39	10.7	1.743402084	2.001691105
"368"	"NLA06608-0529"	1	4	9	2007	47.18441442	-119.3639845	"WA"	"Region_10"	"XER"	"17"	"17020015"	"NATURAL"	26.06638733	107.046561	320.11	8.5	5.914627052	2.337088279
"369"	"NLA06608-0530"	1	7	8	2007	31.05988383	-81.41308684	"GA"	"Region_4"	"CPL"	"3"	"3070203"	"MAN-MADE"	0.097412015	2.077278248	0.71	2.4	1.877515271	402.5352728
"370"	"NLA06608-0531"	1	11	7	2007	46.03407357	-99.16791062	"ND"	"Region_8"	"NPL"	"10"	"10130106"	"NATURAL"	0.138801609	1.851641137	588.11	1.8	1.402021385	81.78952116
"371"	"NLA06608-0533"	1	18	7	2007	42.25218027	-78.29237084	"NY"	"Region_2"	"NAP"	"5"	"5010001"	"MAN-MADE"	1.68057458	9.690319438	470.53	6.9	2.108648866	99.71349915
"372"	"NLA06608-0537"	1	6	6	2007	37.69558878	-81.05483233	"WV"	"Region_3"	"SAP"	"5"	"5050004"	"MAN-MADE"	0.358693406	5.458791578	815.49	7.5	2.571164624	10.76992391
"373"	"NLA06608-0540"	1	27	8	2007	35.17104325	-99.37115228	"OK"	"Region_6"	"SPL"	"11"	"11120303"	"MAN-MADE"	0.100905328	2.075854613	519.11	2	1.843465235	14.15104596
"374"	"NLA06608-0541"	1	12	7	2007	38.96504347	-77.33745683	"VA"	"Region_3"	"SAP"	"2"	"2070008"	"MAN-MADE"	0.101117519	1.956665849	97.61	7.1	1.735795392	28.28770048
"375"	"NLA06608-0542"	1	30	8	2007	45.78575069	-88.36579346	"WI"	"Region_5"	"UMW"	"4"	"4030108"	"NATURAL"	0.046123777	0.85959415	405.01	1.3	1.129083574	724.8867084
"376"	"NLA06608-0546"	1	18	7	2007	42.35496664	-71.47978934	"MA"	"Region_1"	"NAP"	"1"	"1070005"	"NATURAL"	0.065793663	1.763363958	63.79	2.8	1.939299995	5.026181837
"377"	"NLA06608-0547"	1	31	7	2007	44.20672826	-89.83486415	"WI"	"Region_5"	"UMW"	"7"	"7070003"	"MAN-MADE"	1.23811974	9.789200742	289.18	5.7	2.481766846	64.99603437
"378"	"NLA06608-0550"	1	1	8	2007	43.9575273	-71.96791311	"NH"	"Region_1"	"NAP"	"1"	"1080104"	"NATURAL"	0.615957738	4.716015708	409.24	7.9	1.695098163	20.3121784
"379"	"NLA06608-0551"	1	20	8	2007	45.10823473	-94.16801923	"MN"	"Region_5"	"UMW"	"7"	"7010204"	"NATURAL"	2.196509157	7.211493699	294.56	13.5	1.37263095	5.66008504
"380"	"NLA06608-0555"	1	23	7	2007	41.72092858	-85.00769013	"IN"	"Region_5"	"UMW"	"4"	"4050001"	"NATURAL"	0.117962532	1.58302045	292.84	10.7	1.300198167	16.39880261
"381"	"NLA06608-0558"	1	9	8	2007	46.76330385	-96.21518776	"MN"	"Region_5"	"UMW"	"9"	"9020106"	"NATURAL"	0.14035017	1.891759921	402.97	3.7	1.424474297	432.3955559
"382"	"NLA06608-0560"	1	12	9	2007	35.61858883	-101.6607655	"TX"	"Region_6"	"SPL"	"11"	"11090106"	"MAN-MADE"	65.59392801	173.4237312	894.9	13.8	6.0404845	2.186087249
"383"	"NLA06608-0561"	1	9	8	2007	44.9484358	-116.0893222	"ID"	"Region_10"	"WMT"	"17"	"17050123"	"NATURAL"	20.18422831	39.89997855	1520	52.5	2.505311057	2.428401958
"384"	"NLA06608-0562"	1	13	7	2007	41.68686806	-71.61087837	"RI"	"Region_1"	"NAP"	"1"	"1090004"	"MAN-MADE"	1.572914486	19.85128831	75.34	10	4.465100197	1.516245047
"385"	"NLA06608-0562"	2	21	8	2007	41.68686806	-71.61087837	"RI"	"Region_1"	"NAP"	"1"	"1090004"	"MAN-MADE"	1.572914486	19.85128831	75.34	7.5	4.465100197	1.516245047
"386"	"NLA06608-0564"	1	22	8	2007	35.97472589	-105.9168212	"NM"	"Region_6"	"XER"	"13"	"13020101"	"MAN-MADE"	0.407999372	4.043796187	1915.69	19.3	1.78588948	17.02186818
"387"	"NLA06608-0565"	1	19	7	2007	37.24525923	-121.9668773	"CA"	"Region_9"	"XER"	"18"	"18050003"	"MAN-MADE"	0.193007469	2.596318377	92.14	3.9	1.667116529	85.66624761
"388"	"NLA06608-0569"	1	7	8	2007	34.60517537	-112.4389242	"AZ"	"Region_9"	"WMT"	"15"	"15060202"	"MAN-MADE"	1.191797911	9.130234221	1567	1	2.359259306	1.29530541
"389"	"NLA06608-0570"	1	27	7	2007	45.44213549	-109.2242066	"MT"	"Region_8"	"NPL"	"10"	"10070006"	"MAN-MADE"	2.969416249	12.53735789	1294	19.8	2.052416754	2.212647044
"390"	"NLA06608-0579"	1	19	8	2007	46.82469712	-99.7794296	"ND"	"Region_8"	"NPL"	"10"	"10130103"	"NATURAL"	3.142066556	13.24281682	525.31	1.4	2.107500807	21.96428238
"391"	"NLA06608-0580"	1	7	8	2007	37.17718851	-82.39104876	"VA"	"Region_3"	"SAP"	"5"	"5070202"	"MAN-MADE"	4.763427424	68.46809429	425.05	39	8.849597771	4.017819306
"392"	"NLA06608-0581"	1	3	7	2007	43.25263859	-114.3827885	"ID"	"Region_10"	"XER"	"17"	"17040219"	"MAN-MADE"	15.607504	53.62836201	1462	15.2	3.829330694	2.428401958
"393"	"NLA06608-0582"	1	19	7	2007	41.80079367	-72.52468392	"CT"	"Region_1"	"NAP"	"1"	"1080205"	"MAN-MADE"	0.211105314	2.457242976	43.88	4.6	1.508667683	53.01916841
"394"	"NLA06608-0583"	1	26	6	2007	31.20627441	-91.54690118	"MS"	"Region_4"	"CPL"	"8"	"8060100"	"NATURAL"	0.244058727	3.542984148	13.71	0.9	2.023098865	72.09075834
"395"	"NLA06608-0585"	1	15	6	2007	39.48658532	-118.7255216	"NV"	"Region_9"	"XER"	"16"	"16050203"	"MAN-MADE"	1.641223762	15.10573347	1202.02	1	3.326235449	1.036696107
"396"	"NLA06608-0587"	1	9	7	2007	41.2184867	-86.59115603	"IN"	"Region_5"	"UMW"	"7"	"7120001"	"NATURAL"	5.540614131	12.8846881	218.23	7.9	1.544151919	2.451426407
"397"	"NLA06608-0587"	2	14	8	2007	41.2184867	-86.59115603	"IN"	"Region_5"	"UMW"	"7"	"7120001"	"NATURAL"	5.540614131	12.8846881	218.23	7.3	1.544151919	2.451426407
"398"	"NLA06608-0588"	1	13	7	2007	39.3320249	-97.37482305	"KS"	"Region_7"	"SPL"	"10"	"10250017"	"MAN-MADE"	0.102348453	1.506692723	415.33	3.1	1.328553715	15.24267062
"399"	"NLA06608-0590"	1	7	8	2007	45.9076374	-89.91696268	"WI"	"Region_5"	"UMW"	"7"	"7070001"	"NATURAL"	0.368696839	3.377840816	476.12	3.2	1.569276748	159.855637
"400"	"NLA06608-0591"	1	21	8	2007	34.13761156	-84.64323654	"GA"	"Region_4"	"SAP"	"3"	"3150104"	"MAN-MADE"	36.39297646	265.0802093	256.03	17.7	12.39548673	3.426364268
"401"	"NLA06608-0593"	1	10	7	2007	48.70867836	-122.3277089	"WA"	"Region_10"	"WMT"	"17"	"17110002"	"MAN-MADE"	0.103147268	1.329262581	104.79	26.5	1.167554015	32.54937288
"402"	"NLA06608-0594"	1	9	8	2007	32.37834158	-82.0648507	"GA"	"Region_4"	"CPL"	"3"	"3060203"	"MAN-MADE"	0.060287358	1.202826938	53.06	1.8	1.381926957	402.5352728
"403"	"NLA06608-0595"	1	12	6	2007	45.81215092	-99.76603988	"SD"	"Region_8"	"NPL"	"10"	"10130106"	"NATURAL"	0.610733545	4.037677278	541.69	2.4	1.457473894	4.952820439
"404"	"NLA06608-0596"	1	30	7	2007	39.07986361	-106.3650807	"CO"	"Region_8"	"WMT"	"11"	"11020001"	"MAN-MADE"	2.232825986	5.972587609	2802	29	1.127535328	10.0994059
"405"	"NLA06608-0597"	1	9	7	2007	43.54705816	-116.6654946	"ID"	"Region_10"	"XER"	"17"	"17050114"	"MAN-MADE"	35.71159207	39.98093763	767	8.9	1.887310851	2.428401958
"406"	"NLA06608-0599"	1	19	7	2007	30.29008869	-96.59781441	"TX"	"Region_6"	"CPL"	"12"	"12070102"	"MAN-MADE"	46.82509549	110.3076062	72.58	8	4.547379421	2.186087249
"407"	"NLA06608-0606"	1	8	8	2007	45.97262852	-90.50816425	"WI"	"Region_5"	"UMW"	"7"	"7050002"	"NATURAL"	0.621090133	3.456520164	454.76	7.3	1.237248249	59.0272092
"408"	"NLA06608-0608"	1	18	9	2007	36.59009304	-89.26975098	"MO"	"Region_7"	"CPL"	"8"	"8010100"	"NATURAL"	0.308371769	5.081839719	86.5	2.3	2.581539205	24.96991521
"409"	"NLA06608-0609"	1	25	7	2007	28.06126866	-82.27729181	"FL"	"Region_4"	"CPL"	"3"	"3100205"	"NATURAL"	3.394373012	7.537308706	34.62	3.9	1.154068502	2.082890779
"410"	"NLA06608-0610"	1	2	8	2007	42.69132092	-71.3703595	"NH"	"Region_1"	"NAP"	"1"	"1070002"	"NATURAL"	0.663504804	5.20907328	45.85	6.5	1.803987397	20.3121784
"411"	"NLA06608-0611"	1	2	7	2007	42.9654707	-89.25185174	"WI"	"Region_5"	"TPL"	"7"	"7090001"	"NATURAL"	12.93360422	15.59784263	258.46	9	1.223488295	7.527925891
"412"	"NLA06608-0614"	1	27	6	2007	43.37864455	-123.2686178	"OR"	"Region_10"	"WMT"	"17"	"17100301"	"MAN-MADE"	0.526616225	7.413004867	207.02	16	2.881656665	3.999258837
